miner_id,deal_id,payload_cid,filename,size_in_bytes
f015927,1474969,baga6ea4seaqk24guzz5l6ye4vmeo7i5uhzzigcrms34azc442kaqh7tdhl5loga,picasso.tar.00,34359738368
f022352,1477148,baga6ea4seaqk24guzz5l6ye4vmeo7i5uhzzigcrms34azc442kaqh7tdhl5loga,picasso.tar.00,34359738368
f01278,1476064,baga6ea4seaqk24guzz5l6ye4vmeo7i5uhzzigcrms34azc442kaqh7tdhl5loga,picasso.tar.00,34359738368
f015927,1475085,baga6ea4seaqbharivaimpk3x4a74aqifo46lqprsicunozgpty3ute6uo4m4ekq,picasso.tar.01,34359738368
f022352,1477120,baga6ea4seaqbharivaimpk3x4a74aqifo46lqprsicunozgpty3ute6uo4m4ekq,picasso.tar.01,34359738368
f01278,1475884,baga6ea4seaqbharivaimpk3x4a74aqifo46lqprsicunozgpty3ute6uo4m4ekq,picasso.tar.01,34359738368
f01276,1479156,baga6ea4seaqbharivaimpk3x4a74aqifo46lqprsicunozgpty3ute6uo4m4ekq,picasso.tar.01,34359738368
f064218,1475571,baga6ea4seaqbharivaimpk3x4a74aqifo46lqprsicunozgpty3ute6uo4m4ekq,picasso.tar.01,34359738368
f022352,1476917,baga6ea4seaqiujp7m53b57imgtzuzh23uqed2h35bn6mlpqdm4fstrw5q35rcka,picasso.tar.02,34359738368
f01278,1475450,baga6ea4seaqiujp7m53b57imgtzuzh23uqed2h35bn6mlpqdm4fstrw5q35rcka,picasso.tar.02,34359738368
f01276,1478938,baga6ea4seaqiujp7m53b57imgtzuzh23uqed2h35bn6mlpqdm4fstrw5q35rcka,picasso.tar.02,34359738368
f015927,1475091,baga6ea4seaqiujp7m53b57imgtzuzh23uqed2h35bn6mlpqdm4fstrw5q35rcka,picasso.tar.02,34359738368
f064218,1475604,baga6ea4seaqfe7n4kzgzutfioxqqshr4cyq6e2t64j7heqhg3tyghx5zihwfydy,picasso.tar.03,34359738368
f01278,1478583,baga6ea4seaqfe7n4kzgzutfioxqqshr4cyq6e2t64j7heqhg3tyghx5zihwfydy,picasso.tar.03,34359738368
f01276,1479445,baga6ea4seaqfe7n4kzgzutfioxqqshr4cyq6e2t64j7heqhg3tyghx5zihwfydy,picasso.tar.03,34359738368
f022352,1477136,baga6ea4seaqfe7n4kzgzutfioxqqshr4cyq6e2t64j7heqhg3tyghx5zihwfydy,picasso.tar.03,34359738368
f015927,1475116,baga6ea4seaqfe7n4kzgzutfioxqqshr4cyq6e2t64j7heqhg3tyghx5zihwfydy,picasso.tar.03,34359738368
f064218,1475591,baga6ea4seaqc6ngzarn4rftcqaptmbue6qkuvu2foxufxfwwn4cgadbtl447ily,picasso.tar.04,34359738368
f022352,1476997,baga6ea4seaqc6ngzarn4rftcqaptmbue6qkuvu2foxufxfwwn4cgadbtl447ily,picasso.tar.04,34359738368
f01276,1479252,baga6ea4seaqc6ngzarn4rftcqaptmbue6qkuvu2foxufxfwwn4cgadbtl447ily,picasso.tar.04,34359738368
f015927,1475140,baga6ea4seaqc6ngzarn4rftcqaptmbue6qkuvu2foxufxfwwn4cgadbtl447ily,picasso.tar.04,34359738368
f01278,1476371,baga6ea4seaqc6ngzarn4rftcqaptmbue6qkuvu2foxufxfwwn4cgadbtl447ily,picasso.tar.04,34359738368
f064218,1475590,baga6ea4seaqmswsqxz2j2ba2p26qhjesszywvzwxxvtvyu5vutuh3wi63unyqaa,picasso.tar.05,34359738368
f01276,1479098,baga6ea4seaqmswsqxz2j2ba2p26qhjesszywvzwxxvtvyu5vutuh3wi63unyqaa,picasso.tar.05,34359738368
f015927,1475161,baga6ea4seaqmswsqxz2j2ba2p26qhjesszywvzwxxvtvyu5vutuh3wi63unyqaa,picasso.tar.05,34359738368
f01278,1476783,baga6ea4seaqmswsqxz2j2ba2p26qhjesszywvzwxxvtvyu5vutuh3wi63unyqaa,picasso.tar.05,34359738368
f022352,1477041,baga6ea4seaqmswsqxz2j2ba2p26qhjesszywvzwxxvtvyu5vutuh3wi63unyqaa,picasso.tar.05,34359738368
f064218,1475442,baga6ea4seaqjz5utjekig5lmj6catqrhzjm3gsckhd55pzvghlz3cl2oy7e56ny,picasso.tar.06,34359738368
f022352,1476858,baga6ea4seaqjz5utjekig5lmj6catqrhzjm3gsckhd55pzvghlz3cl2oy7e56ny,picasso.tar.06,34359738368
f01278,1475104,baga6ea4seaqjz5utjekig5lmj6catqrhzjm3gsckhd55pzvghlz3cl2oy7e56ny,picasso.tar.06,34359738368
f015927,1475191,baga6ea4seaqjz5utjekig5lmj6catqrhzjm3gsckhd55pzvghlz3cl2oy7e56ny,picasso.tar.06,34359738368
f01276,1478937,baga6ea4seaqjz5utjekig5lmj6catqrhzjm3gsckhd55pzvghlz3cl2oy7e56ny,picasso.tar.06,34359738368
f01276,1479069,baga6ea4seaqnq6i3zw52oi3ggszui2rfz2i6skzbniwjzsfwncx2eygmh2t7keq,picasso.tar.07,34359738368
f064218,1475539,baga6ea4seaqnq6i3zw52oi3ggszui2rfz2i6skzbniwjzsfwncx2eygmh2t7keq,picasso.tar.07,34359738368
f01278,1477743,baga6ea4seaqnq6i3zw52oi3ggszui2rfz2i6skzbniwjzsfwncx2eygmh2t7keq,picasso.tar.07,34359738368
f015927,1475247,baga6ea4seaqnq6i3zw52oi3ggszui2rfz2i6skzbniwjzsfwncx2eygmh2t7keq,picasso.tar.07,34359738368
f022352,1477028,baga6ea4seaqnq6i3zw52oi3ggszui2rfz2i6skzbniwjzsfwncx2eygmh2t7keq,picasso.tar.07,34359738368
f064218,1475592,baga6ea4seaqmm6yk3cmmc7ihjygryavs6os3vrwuqgsygpdhoq77mp7syvyyihi,picasso.tar.08,34359738368
f022352,1477078,baga6ea4seaqmm6yk3cmmc7ihjygryavs6os3vrwuqgsygpdhoq77mp7syvyyihi,picasso.tar.08,34359738368
f015927,1475353,baga6ea4seaqmm6yk3cmmc7ihjygryavs6os3vrwuqgsygpdhoq77mp7syvyyihi,picasso.tar.08,34359738368
f01278,1478107,baga6ea4seaqmm6yk3cmmc7ihjygryavs6os3vrwuqgsygpdhoq77mp7syvyyihi,picasso.tar.08,34359738368
f01276,1479347,baga6ea4seaqmm6yk3cmmc7ihjygryavs6os3vrwuqgsygpdhoq77mp7syvyyihi,picasso.tar.08,34359738368
